filename,depth_gt_mm,depth_rs_mm,T_mm,H_mm,W_mm,mass,thickness_px,height_px,thickness_mm_est,height_mm_est,
book_20260424_161632.png,400,401.0000229,18.3,246,189,638,43,558,18.89346266,245.7457474,-2.549353807
book_20260424_161826.png,400,401.0000229,22.5,228,151,555,53,517,23.28729119,227.6891602,-0.508391257
book_20260424_161925.png,401,402.00001,19,240,164,581,44,548,19.33284552,241.3417018,-1.801717672
book_20260424_162012.png,399,399.0000188,32,234,156,1000,74,532,32.4330468,233.7095017,1.765810941
book_20260424_162059.png,395,395.0000107,30.5,234.5,190,1251,69,538,29.93844994,233.9759418,-0.089561643
book_20260424_162145.png,399,399.0000188,23.1,214.5,140,525,51,488,22.35250523,214.3801444,-1.626671343
book_20260424_162240.png,398,398.0000317,46,250,172,1370,99,569,43.28141135,249.3372665,-0.579051378
book_20260424_162336.png,396,397.0000148,36.2,260,205,1681,81,595,35.3230873,260.0754206,5.185842045
book_20260424_162505.png,400,400.000006,57,240,155,1567,124,544,54.48347373,239.5800835,-1.757691873
book_20260424_162555.png,399,399.0000188,25.5,261,181,1025,57,599,24.98221173,263.1428412,92.84181199
book_20260424_162646.png,397,397.0000148,43.5,228,153,1176,94,522,40.99222477,228.1670077,92.92263362
book_20260424_162735.png,399,399.0000188,22.5,222,143,436,53,505,23.22907406,221.8483052,3.039999592
book_20260424_162821.png,399,399.0000188,31,242,160,771,72,555,31.55647797,243.8134839,0.971404978
book_20260424_162919.png,399,399.0000188,36,235,156,930,80,534,35.0627533,234.5881088,-2.495599791
book_20260424_163011.png,399,399.0000188,28.5,234,156,666,66,535,28.92677147,235.0274124,0.67457024
